Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",@ Milwaukee,REG,W,107-96,W,-2.0,O,194.0
"Oct 28, 2016",@ Miami,REG,W,97-91,W,-1.0,U,197.0
"Oct 29, 2016",vs Boston,REG,L,104-98,L,2.5,U,203.5
"Nov 2, 2016",vs Philadelphia,REG,W,109-93,W,-13.0,O,197.0
"Nov 4, 2016",@ Brooklyn,REG,W,99-95,L,-6.5,U,203.5
"Nov 7, 2016",vs Indiana,REG,W,122-100,W,-3.0,O,206.0
"Nov 9, 2016",vs Utah,REG,W,104-98,W,-3.0,O,193.0
"Nov 11, 2016",vs Toronto,REG,L,113-111,L,0.0,O,203.0
"Nov 13, 2016",@ Cleveland,REG,L,100-93,P,7.0,U,207.0
"Nov 15, 2016",@ Minnesota,REG,W,115-108,W,-1.0,O,205.0
"Nov 18, 2016",vs Atlanta,REG,W,100-96,W,-2.0,U,208.0
"Nov 19, 2016",@ New Orleans,REG,L,121-116,L,-2.0,O,207.0
"Nov 21, 2016",vs Memphis,REG,L,105-90,L,-5.5,U,198.5
"Nov 23, 2016",vs San Antonio,REG,L,119-114,W,5.5,O,200.5
"Nov 25, 2016",@ New York,REG,L,113-111,L,-2.0,O,210.5
"Nov 26, 2016",vs New York,REG,W,107-102,L,-5.5,O,208.0
"Nov 28, 2016",@ Memphis,REG,W,104-85,W,-2.0,U,197.5
"Nov 29, 2016",vs Detroit,REG,L,112-89,L,-3.5,O,200.0
"Dec 1, 2016",vs Dallas,REG,W,97-87,L,-12.0,U,193.5
"Dec 3, 2016",vs Minnesota,REG,L,125-120,L,-6.0,O,209.0
"Dec 5, 2016",@ Dallas,REG,W,109-101,W,-3.5,O,193.5
"Dec 7, 2016",vs Detroit,REG,W,87-77,W,-5.5,U,203.0
"Dec 9, 2016",vs Orlando,REG,W,109-88,W,-6.5,U,204.0
"Dec 10, 2016",@ Cleveland,REG,L,116-105,L,7.5,O,213.5
"Dec 12, 2016",@ Indiana,REG,L,110-94,L,-1.5,U,208.0
"Dec 14, 2016",@ Washington,REG,L,109-106,L,-2.0,O,210.0
"Dec 16, 2016",@ Boston,REG,L,96-88,L,6.0,U,207.5
"Dec 17, 2016",@ Atlanta,REG,W,107-99,W,2.5,U,208.0
"Dec 20, 2016",vs LA Lakers,REG,W,117-113,L,-8.5,O,212.5
"Dec 23, 2016",vs Chicago,REG,W,103-91,W,-4.5,U,205.0
"Dec 26, 2016",@ Brooklyn,REG,L,120-118,L,-6.5,O,217.5
"Dec 28, 2016",@ Orlando,REG,W,120-101,W,-4.5,O,204.5
"Dec 29, 2016",vs Miami,REG,W,91-82,W,-6.0,U,205.0
"Dec 31, 2016",vs Cleveland,REG,L,121-109,L,1.0,O,210.5
"Jan 2, 2017",@ Chicago,REG,L,118-111,L,-1.0,O,199.0
"Jan 4, 2017",vs Oklahoma City,REG,W,123-112,W,-2.0,O,208.5
"Jan 5, 2017",@ Detroit,REG,L,115-114,W,5.0,O,208.0
"Jan 7, 2017",@ San Antonio,REG,L,102-85,L,11.0,U,208.5
"Jan 10, 2017",@ Houston,REG,L,121-114,W,8.5,O,226.0
"Jan 13, 2017",@ Philadelphia,REG,L,102-93,L,-5.0,U,208.0
"Jan 16, 2017",@ Boston,REG,L,108-98,L,5.0,U,217.0
"Jan 18, 2017",vs Portland,REG,W,107-85,W,-5.0,U,217.0
"Jan 20, 2017",vs Toronto,REG,W,113-78,W,-1.5,U,216.0
"Jan 21, 2017",vs Brooklyn,REG,W,112-105,L,-12.0,U,222.0
"Jan 23, 2017",vs Washington,REG,L,109-99,L,-6.5,U,212.5
"Jan 25, 2017",vs Golden State,REG,L,113-103,L,9.5,U,223.5
"Jan 27, 2017",@ New York,REG,L,110-107,L,-1.0,O,211.5
"Jan 28, 2017",vs Sacramento,REG,L,109-106,L,-7.0,O,205.0
"Jan 31, 2017",@ Portland,REG,L,115-98,L,4.0,U,215.0
"Feb 1, 2017",@ Golden State,REG,L,126-111,P,15.0,O,227.0
"Feb 4, 2017",@ Utah,REG,L,105-98,W,8.0,O,197.5
"Feb 7, 2017",vs Brooklyn,REG,W,111-107,L,-10.0,U,219.5
"Feb 9, 2017",vs Houston,REG,L,107-95,L,2.5,U,224.5
"Feb 11, 2017",vs LA Clippers,REG,L,107-102,L,-2.5,U,217.0
"Feb 13, 2017",vs Philadelphia,REG,L,105-99,L,-7.5,U,213.0
"Feb 15, 2017",@ Toronto,REG,L,90-85,W,6.0,U,213.0
"Feb 23, 2017",@ Detroit,REG,L,114-108,L,5.0,O,208.0
"Feb 25, 2017",@ Sacramento,REG,W,99-85,W,-3.5,U,208.0
"Feb 26, 2017",@ LA Clippers,REG,L,124-121,W,11.0,O,212.5
"Feb 28, 2017",@ LA Lakers,REG,W,109-104,P,-5.0,U,215.0
"Mar 2, 2017",@ Phoenix,REG,L,120-103,L,-4.0,O,218.5
"Mar 4, 2017",@ Denver,REG,W,112-102,W,5.5,U,222.0
"Mar 6, 2017",vs Indiana,REG,W,100-88,W,-4.5,U,205.0
"Mar 8, 2017",@ Miami,REG,L,108-101,L,4.0,O,203.5
"Mar 10, 2017",vs Orlando,REG,W,121-81,W,-9.0,U,203.0
"Mar 11, 2017",vs New Orleans,REG,L,125-122,L,-3.5,O,204.0
"Mar 13, 2017",vs Chicago,REG,L,115-109,L,-7.5,O,199.5
"Mar 15, 2017",@ Indiana,REG,L,98-77,L,3.0,U,203.5
"Mar 18, 2017",vs Washington,REG,W,98-93,W,-3.5,U,214.5
"Mar 20, 2017",vs Atlanta,REG,W,105-90,W,-6.0,U,205.5
"Mar 22, 2017",@ Orlando,REG,W,109-102,W,-4.5,O,206.5
"Mar 24, 2017",vs Cleveland,REG,L,112-105,L,3.5,O,210.0
"Mar 26, 2017",vs Phoenix,REG,W,120-106,W,-13.0,O,213.5
"Mar 28, 2017",vs Milwaukee,REG,L,118-108,L,-3.5,O,199.0
"Mar 29, 2017",@ Toronto,REG,W,110-106,W,5.5,O,202.0
"Mar 31, 2017",vs Denver,REG,W,122-114,W,-2.0,O,218.5
"Apr 2, 2017",@ Oklahoma City,REG,W,113-101,W,5.0,O,211.5
"Apr 4, 2017",@ Washington,REG,L,118-111,L,3.0,O,219.5
"Apr 5, 2017",vs Miami,REG,L,112-99,L,-2.5,O,203.5
"Apr 8, 2017",vs Boston,REG,L,121-114,L,-1.5,O,214.0
"Apr 10, 2017",@ Milwaukee,REG,L,89-79,L,6.5,U,197.5
"Apr 11, 2017",@ Atlanta,REG,L,103-76,L,8.0,U,203.0
